question,option0,option1,option2,correctIndex,difficulty,era,region
"In 'Rogue Nation', Tom Cruise held his breath for how many minutes during the underwater 'Torus' sequence?","Six minutes","Four minutes","Three minutes",0,"Director Cut","Modern","International"
"The 'Opera House' sequence in 'Rogue Nation' is a deliberate visual homage to which 1956 Alfred Hitchcock film?","The Man Who Knew Too Much","North by Northwest","Vertigo",0,"Director Cut","Modern","International"
"Which Oscar-winning editor, frequent collaborator of Christopher McQuarrie, edited 'Fallout' and 'Dead Reckoning'?","Eddie Hamilton","Thelma Schoonmaker","Pietro Scalia",0,"Director Cut","Modern","Domestic"
"In 'Dead Reckoning Part One', the mountain bike base jump in Norway required Cruise to perform how many practice jumps?","500 Skydives","100 Skydives","1,000 Skydives",0,"Director Cut","Modern","International"
"Which 'Mission: Impossible' film is the only one in the franchise to be shot on 35mm anamorphic film by cinematographer Robert Elswit?","Ghost Protocol","Rogue Nation","Mission: Impossible II",1,"Director Cut","Modern","Domestic"
"In the 2021 film 'Dune', what is the name of the desert planet where 'spice' is harvested?","Arrakis","Caladan","Giedi Prime",0,"Easy","Modern","Domestic"
"In the 2026 film 'Project Hail Mary', Ryland Grace communicates with an alien being he nicknames Rocky using what medium?","Musical notes","Binary code","Mathematical prime numbers",0,"Hard","Modern","Domestic"
"What is the name of the 'sun-eating' microbe that threatens Earth's survival in 'Project Hail Mary'?","Astrophage","Solaris","Photovore",0,"Easy","Modern","Domestic"
"In 'Anatomy of a Fall', what cover of a 50 Cent song is played on a loop at a deafening volume during the opening scene?","P.I.M.P.","In Da Club","Candy Shop",0,"Easy","Modern","International"
"Which 2024 sequel directed by Denis Villeneuve features the arrival of the 'Lisan al-Gaib' on Arrakis?","Dune: Part Two","Rebel Moon","The Creator",0,"Easy","Modern","Domestic"
"In the 2022 film 'The Menu', what is the name of the exclusive private island restaurant run by Chef Slowik?","Hawthorn","The Grove","Elbulli",0,"Hard","Modern","Domestic"
"Which 2023 Japanese 'Godzilla' film won the Oscar for Best Visual Effects for its terrifying reconstruction of post-war Tokyo?","Godzilla Minus One","Shin Godzilla","Godzilla x Kong",0,"Easy","Modern","International"
"In 'The Banshees of Inisherin' (2022), what does Colm do every time Pádraic speaks to him after their friendship ends?","Cuts off a finger","Paints a picture","Drinks a pint",0,"Medium","Modern","International"
"Which 2023 animation follows a young boy entering a magical world guided by a talking heron?","The Boy and the Heron","Suzume","Puss in Boots",0,"Easy","Modern","International"
"In 'Oppenheimer', which historical figure does Lewis Strauss meet by a pond at the beginning and end of the film?","Albert Einstein","Harry S. Truman","Richard Feynman",0,"Easy","Modern","Domestic"
"Which 2022 action-comedy stars Michelle Yeoh as an IRS-audited laundromat owner?","Everything Everywhere All at Once","Gunpowder Milkshake","Shang-Chi",0,"Easy","Modern","Domestic"
"In the 2023 film 'Society of the Snow', which mountain range serves as the setting for the 1972 plane crash survival story?","The Andes","The Alps","The Himalayas",0,"Easy","Modern","International"
"Which 2024 film follows a group of journalists traveling across a dystopian United States during a civil war?","Civil War","The Last of Us","Leave the World Behind",0,"Easy","Modern","Domestic"
"In 'Drive My Car', the protagonist develops a bond with his driver while practicing lines from which playwright?","Anton Chekhov","William Shakespeare","Samuel Beckett",0,"Medium","Modern","International"
"Which 2023 dark comedy follows a high school student and her journey with a reanimated Victorian-era corpse?","Lisa Frankenstein","Poor Things","Beau is Afraid",0,"Easy","Modern","Domestic"
"In 'Triangle of Sadness' (2022), what type of vessel is the setting for the disastrous middle section of the film?","Luxury Yacht","Cruise Ship","Cargo Vessel",0,"Easy","Modern","International"
"Which 2023 film explores the complex relationship between an actress and the woman she is portraying in a movie?","May December","Tár","Women Talking",0,"Medium","Modern","Domestic"
"In the 2023 Finnish film 'Fallen Leaves', where do the two lonely protagonists meet for the first time?","A karaoke bar","A movie theater","A supermarket",0,"Hard","Modern","International"
"Which 2022 stop-motion film features a shell with a single googly eye and a pair of shoes?","Marcel the Shell with Shoes On","Guillermo del Toro's Pinocchio","Wendell & Wild",0,"Easy","Modern","Domestic"
"In 'Anatomy of a Fall', what is the name of the French alpine town where the trial takes place?","Grenoble","Annecy","Chamonix",0,"Hard","Modern","International"
"In the 1972 John Waters cult classic 'Pink Flamingos', Divine competes for which notorious title?","Filthiest Person Alive","Queen of Baltimore","The Scumbag Supreme",0,"Medium","New Hollywood","Domestic"
"Which 1988 John Waters film was later adapted into a Tony-winning Broadway musical?","Hairspray","Cry-Baby","Serial Mom",0,"Easy","80s","Domestic"
"In 'Troll 2', the inhabitants of the town Nilbog are actually what type of creatures?","Goblins","Trolls","Witches",0,"Easy","90s","International"
"The infamous 'Oh hi Mark' scene in 'The Room' (2003) takes place on which recurring location?","The Rooftop","The Flower Shop","The Coffee Shop",0,"Easy","Modern","Domestic"
"Which 1988 film, famous for its blatant product placement, features an alien escaping NASA to find his family?","Mac and Me","E.T.","Nukie",0,"Medium","80s","Domestic"
"In the 1995 cult film 'Showgirls', Nomi Malone travels to Las Vegas from which city?","Chicago","New York","Miami",0,"Medium","90s","Domestic"
"The 1996 film 'Barb Wire' starring Pamela Anderson is a loose, futuristic remake of which classic film?","Casablanca","Gone with the Wind","The Big Sleep",0,"Hard","90s","Domestic"
"In 'The Room', what sport are the characters frequently seen playing while wearing tuxedos?","Football","Baseball","Basketball",0,"Easy","Modern","Domestic"
"Which John Waters regular, known as the 'Egg Lady' in 'Pink Flamingos', appeared in almost all his early films?","Edith Massey","Mink Stole","Cookie Mueller",0,"Hard","Modern","Domestic"
"In 'Troll 2', what is the name of the town 'Nilbog' spelled backward?","Goblin","Gnome","Ghost",0,"Easy","90s","International"
"Which 1981 John Waters film utilized 'Odorama' scratch-and-sniff cards in theaters?","Polyester","Desperate Living","Female Trouble",0,"Medium","80s","Domestic"
"In 'Mac and Me', the aliens are sustained by drinking which specific soft drink?","Coca-Cola","Pepsi","Mountain Dew",0,"Easy","80s","Domestic"
"Which director, known for 'RoboCop' and 'Basic Instinct', directed the critical bomb turned cult hit 'Showgirls'?","Paul Verhoeven","Joe Eszterhas","Brian De Palma",0,"Medium","90s","Domestic"
"In 'The Room', Johnny famously claims that Lisa is 'tearing him' what?","Apart","Down","Away",0,"Easy","Modern","Domestic"
"Which 1994 John Waters film stars Kathleen Turner as a perfect suburban housewife with a deadly secret?","Serial Mom","Pecker","Cecil B. Demented",0,"Medium","90s","Domestic"
"In the 1994 film 'Forrest Gump', what does Forrest's mother say life is like?","A box of chocolates","A deck of cards","A long winding road",0,"Easy","90s","Domestic"
"Which 1993 Steven Spielberg film features the resurrection of dinosaurs?","Jurassic Park","The Lost World","The Land Before Time",0,"Easy","90s","Domestic"
"Who played the lead role of Jack Dawson in the 1997 blockbuster 'Titanic'?","Leonardo DiCaprio","Brad Pitt","Johnny Depp",0,"Easy","90s","Domestic"
"In 'The Lion King' (1994), what is the name of Simba's father?","Mufasa","Scar","Rafiki",0,"Easy","90s","Domestic"
"Which 1990 film features Macaulay Culkin defending his house from burglars?","Home Alone","Uncle Buck","My Girl",0,"Easy","90s","Domestic"
"Which 1997 Italian film follows a father using humor to protect his son in a concentration camp?","Life is Beautiful","Cinema Paradiso","The Postman",0,"Easy","90s","International"
"Which 1994 French film stars Jean Reno as a professional assassin and Natalie Portman as his protégée?","Léon: The Professional","Nikita","The Fifth Element",0,"Easy","90s","International"
"In the 1998 German film 'Run Lola Run', how many minutes does Lola have to find 100,000 marks?","20 minutes","30 minutes","60 minutes",0,"Easy","90s","International"
"Which 1992 Hong Kong action film features Inspector 'Tequila' Yuen in a hospital shootout?","Hard Boiled","The Killer","Full Contact",0,"Easy","90s","International"
"In the 1991 Chinese film 'Raise the Red Lantern', where is the story set?","A warlord's estate","A rural farm","A coastal village",0,"Easy","90s","International"
"Which 1996 British-produced film features a group of unemployed steelworkers who become strippers?","The Full Monty","Brassed Off","Trainspotting",0,"Easy","90s","International"
"In 'Cromwell's' favorite 1995 Australian film, what kind of animal is 'Babe'?","Pig","Sheepdog","Duck",0,"Easy","90s","International"
"Which 1992 film follows a young girl in the Australian outback with her eccentric family?","Strictly Ballroom","The Adventures of Priscilla","Muriel's Wedding",0,"Easy","90s","International"
"In the 1999 Spanish film 'All About My Mother', who is the director?","Pedro Almodóvar","Alejandro Amenábar","Guillermo del Toro",0,"Easy","90s","International"
"Which 1993 Chinese film chronicles the lives of two performers in the Peking Opera?","Farewell My Concubine","To Live","The Blue Kite",0,"Easy","90s","International"
"In the 1995 film 'La Haine', the story takes place over 24 hours in the suburbs of which city?","Paris","Marseille","Lyon",0,"Easy","90s","International"
"Which 1997 Japanese animated film features the 'Forest Spirit' and wolf gods?","Princess Mononoke","Perfect Blue","Whisper of the Heart",0,"Easy","90s","International"
"In the 1990 film 'Cyrano de Bergerac', which French actor plays the title role?","Gérard Depardieu","Jean Reno","Daniel Auteuil",0,"Easy","90s","International"
"Which 1992 Mexican film uses a 'magical realism' style where a woman's emotions are cooked into her food?","Like Water for Chocolate","Cronos","Strawberry and Chocolate",0,"Easy","90s","International"
"Which 1994 Hong Kong film by Wong Kar-wai features two melancholy policemen in love?","Chungking Express","Fallen Angels","Happy Together",0,"Medium","90s","International"
"In 'The Blue Kite' (1993), the story is told through the eyes of a young boy during which Chinese era?","The Cultural Revolution","The Qing Dynasty","World War II",0,"Medium","90s","International"
"Which 1997 Japanese thriller follows an idol singer who retires to become an actress, only to be stalked?","Perfect Blue","Cure","Audition",0,"Medium","90s","International"
"In the 1992 film 'Hard Boiled', what does Tequila use to keep the babies safe during the hospital fire?","Cotton in their ears","Wet blankets","Oxygen masks",0,"Medium","90s","International"
"Which 1996 film by Lars von Trier features a woman who believes God is communicating with her through her husband?","Breaking the Waves","The Idiots","Europa",0,"Medium","90s","International"
"In 'Burnt by the Sun' (1994), what is the setting for the family's summer holiday?","The Russian countryside","The Black Sea","Siberia",0,"Medium","90s","International"
"Which 1991 film by Krzysztof Kieślowski explores the lives of two identical women in France and Poland?","The Double Life of Veronique","Three Colors: Blue","The Decalogue",0,"Medium","90s","International"
"In 'Hana-bi' (Fireworks, 1997), the protagonist is a retired police officer who turns to what hobby?","Painting","Sculpting","Gardening",0,"Medium","90s","International"
"Which 1993 Kiwi film won the Palme d'Or and stars Holly Hunter as a mute woman?","The Piano","Heavenly Creatures","An Angel at My Table",0,"Medium","90s","International"
"In the 1990 film 'Close-Up', director Abbas Kiarostami uses a real-life trial about a man impersonating which director?","Mohsen Makhmalbaf","Akira Kurosawa","Jean-Luc Godard",0,"Medium","90s","International"
"Which 1998 Japanese horror film features a cursed videotape and a girl named Sadako?","Ringu","Audition","Pulse",0,"Medium","90s","International"
"In 'Sonatine' (1993), Takeshi Kitano's Yakuza characters spend time playing games on which beach?","Okinawa","Osaka","Tokyo Bay",0,"Medium","90s","International"
"Which 1995 Hong Kong film was originally conceived as the third segment of 'Chungking Express'?","Fallen Angels","Happy Together","Ashes of Time",0,"Medium","90s","International"
"In 'A Brighter Summer Day' (1991), the film is set in Taiwan during which decade?","1960s","1950s","1970s",0,"Medium","90s","International"
"Which 1993 film features a young boy in a small Italian town who becomes obsessed with the local cinema?","Cinema Paradiso","The Star Maker","The Postman",0,"Medium","90s","International"
"In 'Funny Games' (1997), the director Michael Haneke breaks the fourth wall using what object?","A remote control","A telephone","A television",0,"Medium","90s","International"
"Which 1991 Indian film directed by Satyajit Ray was his final completed work?","Agantuk","Shakha Proshakha","Ganashatru",0,"Medium","90s","International"
"In 'The Celebration' (1998), which Danish film movement was this the first official entry for?","Dogme 95","The New Wave","Pure Cinema",0,"Medium","90s","International"
"Which 1994 film stars Leslie Cheung as a Peking Opera star who struggles with his identity and the changing politics of China?","Farewell My Concubine","Temptress Moon","Happy Together",0,"Medium","90s","International"
"In the 1999 Japanese film 'Audition', what is the name of the 'instrument' used in the infamous torture scene?","Piano wire","A scalpel","A meat hook",0,"Medium","90s","International"
"Which 1994 Australian film features a trans woman, a drag queen, and a gay man traveling through the desert in a bus?","The Adventures of Priscilla, Queen of the Desert","Strictly Ballroom","Muriel's Wedding",0,"Medium","90s","International"
"In 'Eat Drink Man Woman' (1994), the father is a master chef who has lost which sense?","Taste","Smell","Sight",0,"Medium","90s","International"
"Which 1990 film by Akira Kurosawa consists of eight separate vignettes based on his own dreams?","Dreams","Rhapsody in August","Madadayo",0,"Medium","90s","International"
"In the 1995 film 'Babe', what is the name of the farm where the story takes place?","Hoggett's Farm","Green Pastures","Old MacDonald's",0,"Medium","90s","International"
"Which 1996 film features a man who becomes obsessed with a specific woman after seeing her in a 'Peeping Tom' style video?","Temptress Moon","Chungking Express","Fallen Angels",2,"Medium","90s","International"
"In 'The Match Factory Girl' (1990), what does the protagonist put in her brother's and her lover's drinks?","Rat poison","Sleeping pills","Arsenic",0,"Medium","90s","International"
"Which 1991 film features a road trip across the US by two friends, one of whom is HIV positive?","The Living End","My Own Private Idaho","Poison",0,"Medium","90s","International"
"In the 1994 film 'Pulp Fiction', what is the name of the fictional burger joint Jules and Vincent discuss?","Big Kahuna Burger","Jack Rabbit Slim's","Pauly's Burgers",0,"Hard","90s","Domestic"
"Which 1991 film by Gus Van Sant features Keanu Reeves and River Phoenix as street hustlers?","My Own Private Idaho","Even Cowgirls Get the Blues","Drugstore Cowboy",0,"Hard","90s","Domestic"
"In 'The Silence of the Lambs' (1991), what is the real name of the killer nicknamed 'Buffalo Bill'?","Jame Gumb","Francis Dolarhyde","Mason Verger",0,"Hard","90s","Domestic"
"Which 1995 film was the first feature-length movie to be entirely computer-animated?","Toy Story","Antz","A Bug's Life",0,"Hard","90s","Domestic"
"In 'Reservoir Dogs' (1992), which color pseudonym is given to the undercover cop?","Mr. Orange","Mr. Pink","Mr. Blonde",0,"Hard","90s","Domestic"
"Which 1999 film stars Edward Norton and Brad Pitt and is based on a novel by Chuck Palahniuk?","Fight Club","Se7en","12 Monkeys",0,"Hard","90s","Domestic"
"In 'Fargo' (1996), in which state does the majority of the crime take place?","Minnesota","North Dakota","Wisconsin",0,"Hard","90s","Domestic"
"Which 1997 film features a janitor at MIT who is a mathematical genius?","Good Will Hunting","A Beautiful Mind","The Rainmaker",0,"Hard","90s","Domestic"
"In 'Seven' (1995), what is the final 'sin' that John Doe goads Mills into committing?","Wrath","Envy","Pride",0,"Hard","90s","Domestic"
"Which 1992 film stars Sharon Stone as a novelist who may be a serial killer?","Basic Instinct","Sliver","Intersection",0,"Hard","90s","Domestic"
"In 'The Matrix' (1999), what color pill does Neo take to see the truth?","Red","Blue","Green",0,"Hard","90s","Domestic"
"Which 1993 film by Jane Campion stars Holly Hunter as a mute Scotswoman who moves to New Zealand?","The Piano","An Angel at My Table","Portrait of a Lady",0,"Hard","90s","Domestic"
"In 'The Usual Suspects' (1995), who is the legendary criminal mastermind?","Keyser Söze","Dean Keaton","Kobayashi",0,"Hard","90s","Domestic"
"Which 1998 film directed by Terrence Malick features an ensemble cast during the Battle of Guadalcanal?","The Thin Red Line","Saving Private Ryan","Days of Heaven",0,"Hard","90s","Domestic"
"In 'Magnolia' (1999), what unusual meteorological event occurs at the climax of the film?","Raining frogs","A solar eclipse","A massive flood",0,"Hard","90s","Domestic"
"Which 1990 film stars Julia Roberts as a prostitute who falls for a wealthy businessman?","Pretty Woman","Mystic Pizza","Flatliners",0,"Hard","90s","Domestic"
"In 'Unforgiven' (1992), who plays the aging outlaw William Munny?","Clint Eastwood","Gene Hackman","Morgan Freeman",0,"Hard","90s","Domestic"
"Which 1994 film follows the lives of two high school basketball players in Chicago hoping to make it to the NBA?","Hoop Dreams","Blue Chips","Above the Rim",0,"Hard","90s","Domestic"
"In 'Trainspotting' (1996), which Scottish city is the setting for the heroin-addicted group of friends?","Edinburgh","Glasgow","Aberdeen",0,"Hard","90s","Domestic"
"In 'Satantango' (1994), what is the actual runtime of the film consisting of long, slow takes?","7 hours","4 hours","10 hours",0,"Hard","90s","International"
"Which 1991 film by Edward Yang features over 100 speaking roles and follows a teenage murder in Taipei?","A Brighter Summer Day","Yi Yi","Taipei Story",0,"Hard","90s","International"
"In the 1995 film 'Cyclo', the protagonist's bike is stolen in which Vietnamese city?","Ho Chi Minh City","Hanoi","Da Nang",0,"Hard","90s","International"
"Which 1994 Russian film won the Oscar for Best Foreign Language Film and features a girl and her father's former lover?","Burnt by the Sun","The Thief","Brother",0,"Hard","90s","International"
"In 'Van Gogh' (1991), which director focuses on the final 67 days of the painter's life?","Maurice Pialat","Robert Bresson","Jean-Luc Godard",0,"Hard","90s","International"
"Which 1997 film by Abbas Kiarostami follows a man driving through the outskirts of Tehran looking for someone to bury him?","Taste of Cherry","Through the Olive Trees","The Wind Will Carry Us",0,"Hard","90s","International"
"In 'Beau Travail' (1999), the story is set in which African country featuring the French Foreign Legion?","Djibouti","Algeria","Morocco",0,"Hard","90s","International"
"Which 1991 film stars Juliette Binoche as a homeless artist living on the oldest bridge in Paris?","The Lovers on the Bridge","The Double Life of Veronique","Three Colors: Blue",0,"Hard","90s","International"
"In 'Underground' (1995), the story spans decades of history in which former country?","Yugoslavia","Czechoslovakia","USSR",0,"Hard","90s","International"
"Which 1994 film by Wong Kar-wai is a wuxia epic featuring a desert-dwelling middleman for assassins?","Ashes of Time","Fallen Angels","Happy Together",0,"Hard","90s","International"
"In 'The River' (He Liu, 1997), the protagonist develops a mysterious pain in which part of his body?","Neck","Back","Leg",0,"Hard","90s","International"
"Which 1996 film by Hou Hsiao-hsien features a series of long takes depicting the lives of several people in 1960s Taiwan?","Goodbye South, Goodbye","The Puppetmaster","Flowers of Shanghai",0,"Hard","90s","International"
"In 'The Hole' (1998), the film is set during an apocalyptic rainstorm in which city?","Taipei","Hong Kong","Tokyo",0,"Hard","90s","International"
"Which 1992 film by Victor Erice is a documentary-style look at a painter trying to capture the light on a quince tree?","Dream of Light","The South","The Spirit of the Beehive",0,"Hard","90s","International"
"In 'Rosetta' (1999), the Dardenne brothers follow a young woman's desperate search for what?","A job","Her mother","A place to sleep",0,"Hard","90s","International"
"Which 1991 film features a man who returns to his home village after years of being a soldier to find his childhood sweetheart?","The Suspended Step of the Stork","Landscape in the Mist","Eternity and a Day",0,"Hard","90s","International"
"In 'Mother and Son' (1997), the director Aleksandr Sokurov uses distorted lenses to create a painterly look for a story set in which location?","A rural cottage","A city apartment","A hospital",0,"Hard","90s","International"
"Which 1993 film by Derek Jarman consists of a single shot of blue color with a soundtrack of voices and music?","Blue","Wittgenstein","Edward II",0,"Hard","90s","International"
"In 'The Puppetmaster' (1993), the film follows the life of a famous performer of what traditional art form?","Glove puppetry","Shadow play","Peking Opera",0,"Hard","90s","International"
"Which 1995 film features a group of children in a war-torn country who find a camera and begin to document their lives?","Before the Rain","No Man's Land","Land and Freedom",0,"Hard","90s","International"
"In 'The Silence of the Lambs' (1991), which real-life serial killer served as the primary inspiration for Buffalo Bill's skinning habit?","Ed Gein","Ted Bundy","Gary Ridgway",0,"Medium","90s","Domestic"
"For the 1995 film 'Seven', which artist designed the intricate, hand-written journals found in John Doe's apartment?","Clive Barker","John Sable","Gregory Turco",1,"Director Cut","90s","Domestic"
"In 'Pulp Fiction', the 'Gold Watch' segment features a shot of a cereal box for which discontinued brand?","Fruit Brute","Yummy Mummy","Kaboom",0,"Director Cut","90s","Domestic"
"Which 1992 crime film features a 13-minute long take of a cocaine-fueled heist planning session in a kitchen?","One False Move","Light Sleeper","Bad Lieutenant",0,"Director Cut","90s","Domestic"
"In 'The Matrix' (1999), the green code raining down the screen is actually a scrambled recipe for what?","Sushi","Pad Thai","Green Curry",0,"Director Cut","90s","Domestic"
"For 'Fight Club', what was the name of the specific 'IKEA' font used in the protagonist's apartment catalog overlay?","Futura","IKEA Sans","Century Gothic",0,"Director Cut","90s","Domestic"
"Which 1999 film used a 'shutter angle' of 45 and 90 degrees to create the staccato, jittery motion during combat?","Saving Private Ryan","The Thin Red Line","Three Kings",0,"Director Cut","90s","Domestic"
"In 'Goodfellas', the famous Copacabana steadicam shot was required to be filmed in one take because of what logistical issue?","Permission to use the front door was denied","The lighting rig was overheating","The actors were on a strict union break",0,"Director Cut","90s","Domestic"
"For the 1993 film 'Schindler's List', Steven Spielberg was denied permission to film inside which actual location?","Auschwitz-Birkenau","Kraków Ghetto","Płaszów Concentration Camp",0,"Director Cut","90s","Domestic"
"In 'Twin Peaks: Fire Walk with Me' (1992), what is the name of the 'Blue Rose' agent who disappears at the trailer park?","Chet Desmond","Sam Stanley","Phillip Jeffries",0,"Director Cut","90s","Domestic"
"Which 1997 sci-fi film used a 'shoco' color-correction process to give the world a jaundiced, yellow hue?","Gattaca","Dark City","The Fifth Element",0,"Director Cut","90s","Domestic"
"In 'Heat' (1995), the bank heist shootout audio was unique because the production used what instead of dubbed sound effects?","On-set live microphone recordings","Bullet-hit contact mics","Echo-chamber synthesis",0,"Director Cut","90s","Domestic"
"For 'Jurassic Park', the roar of the T-Rex was a composite of which three animals?","Baby elephant, tiger, and alligator","Lion, bear, and snake","Whale, rhino, and wolf",0,"Director Cut","90s","Domestic"
"In 'The Truman Show' (1998), the control room is located inside which giant structure within the dome?","The Moon","The Sun","A Mountain",0,"Director Cut","90s","Domestic"
"Which 1994 film by Coen Brothers used a 'circular' motif in every set design to represent the hula hoop and corporate structure?","The Hudsucker Proxy","Fargo","Barton Fink",0,"Director Cut","90s","Domestic"
"In 'Being John Malkovich' (1999), what is the specific floor number of the low-ceilinged office building?","7 1/2","4 1/4","9 3/4",0,"Director Cut","90s","Domestic"
"In Wong Kar-wai's 'Chungking Express', the 'smeary' motion effect in the action scenes was achieved through what technique?","Step-printing","Slow shutter speed","Double exposure",0,"Director Cut","90s","International"
"In the 1994 Hungarian film 'Sátántangó', director Béla Tarr famously includes a take of a herd of cows that lasts how long?","8 minutes","5 minutes","12 minutes",0,"Director Cut","90s","International"
"The 1991 Taiwanese film 'A Brighter Summer Day' was the first to use which specific lighting equipment in local production?","HMI lights","Kino Flos","LED panels",0,"Director Cut","90s","International"
"In 'Hard Boiled' (1992), the 2-minute 42-second hospital hallway long take includes a hidden break where?","Inside an elevator","Behind a smoke screen","Under a gurney",0,"Director Cut","90s","International"
"For 'Three Colors: Blue' (1993), director Krzysztof Kieślowski used a 'blue' filter on the lens only during which specific event?","The protagonist's memories","The musical compositions","The pool sequences",1,"Director Cut","90s","International"
"In the 1995 French film 'La Haine', the 'cow' that Vinz sees in the street is a reference to what?","A hallucination from sleep deprivation","An urban legend in the banlieue","A protest symbol",0,"Director Cut","90s","International"
"Which 1997 Japanese film used infrared film to capture the surreal 'underworld' sequences?","After Life","Cure","Lost Highway",1,"Director Cut","90s","International"
"In 'Funny Games' (1997), the character Paul rewinds the film using a remote. What brand is the remote control?","Panasonic","Sony","Philips",0,"Director Cut","90s","International"
"For 'The Celebration' (1998), Thomas Vinterberg famously used what kind of camera to adhere to Dogme 95 rules?","Sony DCR-PC3 Handycam","Arriflex 16mm","Bolex H16",0,"Director Cut","90s","International"
"In 'Beau Travail' (1999), the iconic ending dance scene features Denis Lavant dancing to which 90s dance hit?","The Rhythm of the Night","Better Off Alone","What Is Love",0,"Director Cut","90s","International"
"Which 1992 film by Victor Erice follows a painter's attempt to capture the 'Sun through the Quince Tree' using what grid-like aid?","A system of strings and nails","A glass pane with markers","A camera obscura",0,"Director Cut","90s","International"
"In 'Taste of Cherry' (1997), the final sequence of the film switches from 35mm film to what format?","Video / Digital","Super 8","16mm",0,"Director Cut","90s","International"
"For 'Princess Mononoke', Hayao Miyazaki personally oversaw and retouched how many of the 144,000 animation cells?","80,000","40,000","10,000",0,"Director Cut","90s","International"
"In 'All About My Mother' (1999), the play being performed that mirrors the film's plot is which Tennessee Williams classic?","A Streetcar Named Desire","Cat on a Hot Tin Roof","The Glass Menagerie",0,"Director Cut","90s","International"
"Which 1993 film by Derek Jarman was his final testament, featuring a blue screen and no visual images, narrated by his friends?","Blue","The Garden","The Last of England",0,"Director Cut","90s","International"
"In 'The Hole' (1998), the mysterious disease in Taipei is symbolized by people behaving like what animal?","Cockroaches","Rats","Spiders",0,"Director Cut","90s","International"
"For 'Underground' (1995), the set for the sprawling basement was built in which city due to the war in Yugoslavia?","Prague","Berlin","Sofia",0,"Director Cut","90s","International"
"In 'Audition' (1999), the protagonist's dream sequence utilizes which specific color palette to signal the shift into nightmare?","Saturated greens and yellows","Monochrome blue","High-contrast red",0,"Director Cut","90s","International"
"In the 1995 film 'To Die For', director Gus Van Sant used which specific visual motif during Suzanne Stone's weather reports to symbolize her cold, calculating ambition?","Blue-tinted backlighting","Slow-motion snow","A recurring fish tank reflection",0,"Director Cut","90s","Domestic"
"In 'The Talented Mr. Ripley' (1999), Anthony Minghella utilized which cinematographer's 'chiaroscuro' lighting to contrast the bright Italian sun with Tom's dark psyche?","John Seale","Darius Khondji","Roger Deakins",0,"Director Cut","90s","International"
"In 'E.T. the Extra-Terrestrial' (1982), what candy does Elliott use to lure the alien into his house?","Reese's Pieces","M&Ms","Skittles",0,"Medium","80s","Domestic"
"In 'Back to the Future' (1985), what speed must the DeLorean reach to achieve time travel?","88 mph","65 mph","100 mph",0,"Medium","80s","Domestic"
"Who directed the 1981 adventure film 'Raiders of the Lost Ark'?","Steven Spielberg","George Lucas","Richard Donner",0,"Easy","80s","Domestic"
"In the 1984 film 'Ghostbusters', what is the name of the giant marshmallow mascot that terrorizes New York?","Stay Puft","Fluffernutter","Puff Daddy",0,"Medium","80s","Domestic"
"Which 1985 John Hughes film features five students from different cliques in Saturday detention?","The Breakfast Club","Pretty in Pink","Sixteen Candles",0,"Easy","80s","Domestic"
"In 'Dirty Dancing' (1987), Johnny famously says, 'Nobody puts ______ in a corner.'","Baby","Penny","Lisa",0,"Easy","80s","Domestic"
"Which 1981 German film depicts the claustrophobic life aboard a U-boat during WWII?","Das Boot","Stalingrad","Downfall",0,"Easy","80s","International"
"In the 1988 Italian film 'Cinema Paradiso', the story follows a young boy's friendship with a man in what profession?","Projectionist","Director","Actor",0,"Easy","80s","International"
"The 1981 Australian film 'The Road Warrior' is the sequel to which post-apocalyptic movie?","Mad Max","Waterworld","The Rover",0,"Easy","80s","International"
"In the 1988 Studio Ghibli film 'My Neighbor Totoro', what kind of spirit is Totoro?","Forest Spirit","Water Spirit","Household Spirit",0,"Easy","80s","International"
"Which 1988 anime masterpiece is set in the dystopian 'Neo-Tokyo' following a psychic explosion?","Akira","Ghost in the Shell","Neon Genesis Evangelion",0,"Easy","80s","International"
"Which 1982 biopic about the leader of the Indian independence movement won 8 Academy Awards?","Gandhi","The Last Emperor","Passage to India",0,"Easy","80s","International"
"The 1987 film 'The Last Emperor' tells the life story of Puyi, the final ruler of which country?","China","Japan","Thailand",0,"Easy","80s","International"
"In 'Wings of Desire' (1987), invisible angels watch over the inhabitants of which divided city?","Berlin","Prague","Vienna",0,"Easy","80s","International"
"Which 1985 Japanese epic directed by Akira Kurosawa is a reimagining of Shakespeare's 'King Lear'?","Ran","Kagemusha","Dreams",0,"Easy","80s","International"
"The 1982 Swedish film 'Fanny and Alexander' was directed by which legendary filmmaker?","Ingmar Bergman","Victor Sjöström","Lukas Moodysson",0,"Easy","80s","International"
"Which 1985 Soviet film is widely considered one of the most harrowing depictions of WWII ever made?","Come and See","Stalker","Ivan's Childhood",0,"Easy","80s","International"
"In the 1981 film 'Gallipoli', Mel Gibson plays a young soldier from which country?","Australia","New Zealand","United Kingdom",0,"Easy","80s","International"
"Which 1986 Australian comedy features the line, 'That's not a knife... THAT'S a knife'?","Crocodile Dundee","Mad Max","The Castle",0,"Easy","80s","International"
"In 'A Room with a View' (1985), Lucy Honeychurch travels to which Italian city?","Florence","Rome","Venice",0,"Easy","80s","International"
"Which 1981 British film features the iconic Vangelis score and a group of Olympic runners?","Chariots of Fire","The Loneliness of the Long Distance Runner","The Mission",0,"Easy","80s","International"
